".ID.","nbIterTraces","nbGranular","mu","lambda","nbElite","nbClose","nbIterPenaltyManagement","targetFeasible","penaltyIncrease","penaltyDecrease",".PARENT."
1,"500","25","25","60","5","8","100","0.4","1.4","0.75",NA
2,"700","20","30","40","7","4","50","0.2","1.2","0.65",NA
3,"700","20","20","60","5","2","150","0.3","1.3","0.65",NA
4,"500","20","20","20","5","4","50","0.3","1.2","0.65",2
5,"700","20","30","40","3","4","150","0.2","1.3","0.85",2
6,"700","25","30","60","3","8","50","0.4","1.2","0.65",2
7,"700","15","30","60","7","4","50","0.2","1.2","0.65",2
8,"500","20","30","40","7","2","50","0.2","1.2","0.65",2
9,"700","25","30","20","7","4","50","0.2","1.4","0.75",2
10,"700","20","30","20","7","2","50","0.2","1.2","0.65",8
11,"500","20","30","60","7","2","50","0.2","1.2","0.65",8
