    .ID. nbIterTraces nbGranular  mu lambda nbElite nbClose nbIterPenaltyManagement targetFeasible penaltyIncrease penaltyDecrease    .PARENT.
1      1          500         25  25     60       5       8                     100            0.4             1.4            0.75 -2147483648
2      2          700         20  30     40       7       4                      50            0.2             1.2            0.65 -2147483648
3      3          700         20  20     60       5       2                     150            0.3             1.3            0.65 -2147483648
4      4          500         20  25     20       7       2                     150            0.2             1.3            0.65           3
5      5          700         20  20     60       3       2                     100            0.3             1.2            0.85           3
6      6          700         25  20     40       3       8                     150            0.4             1.3            0.65           3
7      7          700         15  20     40       5       2                     150            0.3             1.3            0.65           3
8      8          500         20  20     60       5       4                     150            0.3             1.3            0.65           3
9      9          700         25  20     20       5       2                     150            0.3             1.4            0.75           3
10    10          700         20  20     20       5       2                     150            0.3             1.3            0.65           3
11    11          700         20  20     40       5       2                     150            0.3             1.3            0.65           3
