    .ID. nbIterTraces nbGranular  mu lambda nbElite nbClose nbIterPenaltyManagement targetFeasible penaltyIncrease penaltyDecrease    .PARENT.
1      1          500         15  30     20       7       8                     100            0.3             1.4            0.85 -2147483648
2      2          700         20  20     40       3       4                     150            0.5             1.3            0.75 -2147483648
3      3          250         25  20     60       5       6                     150            0.2             1.3            0.85 -2147483648
4      4          250         15  25     20       3       4                      50            0.5             1.2            0.75           1
5      5          500         15  20     20       7       2                     150            0.4             1.4            0.85           1
6      6          500         25  20     20       7       2                     100            0.2             1.3            0.75           5
7      7          500         15  30     20       7       2                     150            0.2             1.3            0.85           5
8      8          500         25  20     20       7       2                     150            0.2             1.4            0.75           6
9      9          500         25  20     40       7       2                     100            0.4             1.3            0.85           6
10    10          500         25  20     20       7       2                     150            0.2             1.3            0.75           8
11    11          500         25  20     40       7       2                     150            0.5             1.4            0.75           8
