".ID.","nbIterTraces","nbGranular","mu","lambda","nbElite","nbClose","nbIterPenaltyManagement","targetFeasible","penaltyIncrease","penaltyDecrease",".PARENT."
1,"500","25","25","60","5","8","100","0.4","1.4","0.75",NA
2,"700","20","30","40","7","4","50","0.2","1.2","0.65",NA
3,"700","20","20","60","5","2","150","0.3","1.3","0.65",NA
4,"500","20","25","20","7","2","150","0.2","1.3","0.65",3
5,"700","20","20","60","3","2","100","0.3","1.2","0.85",3
6,"700","20","30","20","5","2","100","0.4","1.2","0.65",3
7,"700","20","25","40","5","2","150","0.3","1.2","0.85",6
8,"700","25","30","40","5","2","150","0.4","1.2","0.65",6
9,"250","20","30","40","5","2","100","0.4","1.2","0.65",6
10,"700","20","30","20","5","2","100","0.4","1.2","0.65",6
