    .ID. nbIterTraces nbGranular  mu lambda nbElite nbClose nbIterPenaltyManagement targetFeasible penaltyIncrease penaltyDecrease    .PARENT.
1      1          500         15  30     20       7       8                     100            0.3             1.4            0.85 -2147483648
2      2          700         20  20     40       3       4                     150            0.5             1.3            0.75 -2147483648
3      3          250         25  20     60       5       6                     150            0.2             1.3            0.85 -2147483648
4      4          250         20  30     40       5       8                      50            0.3             1.2            0.85           2
5      5          700         20  25     40       3       2                     100            0.4             1.3            0.75           2
6      6          700         25  20     40       3       4                     100            0.2             1.4            0.85           2
7      7          700         20  20     40       3       4                     150            0.2             1.4            0.75           2
8      8          700         25  20     40       3       4                     150            0.2             1.3            0.85           6
9      9          700         25  20     20       3       4                     100            0.5             1.4            0.75           6
10    10          700         25  20     40       3       4                     100            0.2             1.3            0.85           6
11    11          700         25  20     20       3       4                     100            0.3             1.4            0.85           6
