".ID.","nbIterTraces","nbGranular","mu","lambda","nbElite","nbClose","nbIterPenaltyManagement","targetFeasible","penaltyIncrease","penaltyDecrease",".PARENT."
1,"500","15","30","20","7","8","100","0.3","1.4","0.85",NA
2,"700","20","20","40","3","4","150","0.5","1.3","0.75",NA
3,"250","25","20","60","5","6","150","0.2","1.3","0.85",NA
4,"250","20","30","40","5","8","50","0.3","1.2","0.85",2
5,"700","20","25","40","3","2","100","0.4","1.3","0.75",2
6,"250","25","30","40","5","8","150","0.2","1.3","0.75",4
7,"250","20","20","40","5","8","50","0.2","1.3","0.75",4
8,"250","20","30","40","5","8","50","0.3","1.3","0.85",4
9,"250","20","30","20","3","8","50","0.3","1.2","0.75",4
10,"250","25","30","40","5","8","50","0.2","1.4","0.85",4
11,"250","20","30","40","5","8","50","0.3","1.2","0.85",4
